Date,Open,High,Low,Close,Volume
01/29/1993,26.6,26.6,26.47,26.58,1658100
02/01/1993,26.6,26.77,26.6,26.77,794200
02/02/1993,26.75,26.85,26.7,26.83,332700
02/03/1993,26.87,27.13,26.85,27.11,875000
02/04/1993,27.21,27.28,26.91,27.23,878500
02/05/1993,27.21,27.26,27.06,27.21,813300
02/08/1993,27.21,27.3,27.17,27.21,985200
02/09/1993,27.11,27.11,26.96,27.02,201800
02/10/1993,27.02,27.08,26.94,27.06,627400
02/11/1993,27.09,27.3,27.09,27.19,32200
02/12/1993,27.15,27.15,26.98,26.98,70200
02/16/1993,26.91,26.91,26.26,26.3,619500
02/17/1993,26.3,26.34,26.19,26.28,348600
02/18/1993,26.58,26.58,25.9,26.26,624900
02/19/1993,26.26,26.36,26.22,26.36,57700
02/22/1993,26.43,26.49,26.36,26.45,848900
02/23/1993,26.53,26.55,26.3,26.43,617600
02/24/1993,26.45,26.77,26.45,26.77,43500
02/25/1993,26.75,26.85,26.7,26.83,73500
02/26/1993,26.89,26.89,26.74,26.87,109400
03/01/1993,26.96,26.96,26.75,26.79,109900
03/02/1993,26.81,27.19,26.77,27.19,301500
03/03/1993,27.23,27.32,27.19,27.3,462900
03/04/1993,27.34,27.34,27.15,27.15,147900
03/05/1993,27.19,27.3,27.06,27.08,66100
03/08/1993,27.13,27.68,27.13,27.68,84000
03/09/1993,27.62,27.64,27.53,27.59,279800
03/10/1993,27.59,27.64,27.47,27.64,321300
03/11/1993,27.66,27.74,27.53,27.57,117200
03/12/1993,27.34,27.36,27.11,27.28,1063700
03/15/1993,27.26,27.42,27.26,27.42,513700
03/16/1993,27.42,27.49,27.42,27.42,50900
03/17/1993,27.38,27.38,27.21,27.25,36000
03/18/1993,27.36,27.53,27.36,27.42,98000
03/19/1993,27.53,27.53,27.37,27.37,110100
03/22/1993,27.11,27.28,27.09,27.22,301700
03/23/1993,27.3,27.32,27.24,27.28,90800
03/24/1993,27.24,27.39,27.11,27.28,61200
03/25/1993,27.3,27.51,27.26,27.45,181100
03/26/1993,27.43,27.45,27.28,27.3,167000
03/29/1993,27.32,27.55,27.32,27.41,143300
03/30/1993,27.45,27.49,27.41,27.49,92100
03/31/1993,27.56,27.64,27.47,27.47,183600
04/01/1993,27.51,27.51,27.32,27.37,213000
04/02/1993,27.15,27.15,26.8,26.8,97700
04/05/1993,27.01,27.01,26.86,26.94,283300
04/06/1993,26.99,26.99,26.79,26.86,213400
04/07/1993,26.9,26.96,26.84,26.96,46100
04/08/1993,27.07,27.07,26.8,26.92,297400
04/12/1993,27.18,27.32,27.15,27.3,573300
04/13/1993,27.28,27.45,27.26,27.36,240300
04/14/1993,27.37,27.39,27.3,27.32,196700
04/15/1993,27.3,27.37,27.2,27.32,244400
04/16/1993,27.34,27.37,27.28,27.32,78800
04/19/1993,27.32,27.39,27.18,27.2,258300
04/20/1993,27.17,27.2,26.9,27.07,459800
04/21/1993,27.13,27.13,26.98,27.05,111700
04/22/1993,26.94,27.17,26.71,26.71,160700
04/23/1993,26.65,26.73,26.56,26.6,174400
04/26/1993,26.61,26.71,26.31,26.39,103000
04/27/1993,26.35,26.67,26.35,26.67,257900
04/28/1993,26.63,26.69,26.58,26.61,141300
04/29/1993,26.67,26.73,26.52,26.73,139800
04/30/1993,26.82,26.92,26.77,26.77,145600
05/03/1993,26.8,26.94,26.69,26.94,132400
05/04/1993,26.99,27.13,26.96,27.03,245300
05/05/1993,27.03,27.2,27.03,27.11,179300
05/06/1993,27.07,27.09,26.99,27.01,90000
05/07/1993,27.03,27.03,26.92,26.96,111900
05/10/1993,26.99,27.17,26.99,27.01,187400
05/11/1993,27.01,27.13,26.94,27.13,70100
05/12/1993,27.01,27.11,27.01,27.09,51000
05/13/1993,26.98,26.98,26.75,26.77,212400
05/14/1993,26.77,26.84,26.73,26.75,104500
05/17/1993,26.82,26.84,26.71,26.84,55900
05/18/1993,26.86,26.88,26.73,26.82,173100
05/19/1993,26.82,27.37,26.65,27.37,82600
05/20/1993,27.37,27.45,27.32,27.45,161500
05/21/1993,27.47,27.51,27.18,27.2,364200
05/24/1993,27.26,27.41,27.26,27.32,50200
05/25/1993,27.43,27.43,27.37,27.37,315500
05/26/1993,27.45,27.74,27.43,27.72,168400
05/27/1993,27.75,27.75,27.58,27.62,88500
05/28/1993,27.6,27.6,27.36,27.49,130100
06/01/1993,27.58,27.85,27.55,27.75,46600
06/02/1993,27.68,27.81,27.56,27.72,33400
06/03/1993,27.66,27.66,27.56,27.62,35500
06/04/1993,27.55,27.55,27.41,27.53,52600
06/07/1993,27.58,27.58,27.43,27.43,199700
06/08/1993,27.36,27.36,27.18,27.18,171900
06/09/1993,27.28,27.39,27.24,27.28,71200
06/10/1993,27.26,27.32,27.2,27.3,29400
06/11/1993,27.39,27.45,27.3,27.41,1065000
06/14/1993,27.45,27.47,27.37,27.37,105600
06/15/1993,27.41,27.43,27.32,27.32,234200
06/16/1993,27.32,27.37,27.24,27.37,544300
06/17/1993,27.43,27.47,27.37,27.47,61500
06/18/1993,27.45,27.45,27.24,27.24,95600
06/21/1993,27.32,27.32,27.26,27.3,47900
06/22/1993,27.34,27.34,27.28,27.32,224600
06/23/1993,27.32,27.32,27.07,27.07,371800
06/24/1993,27.15,27.43,27.15,27.43,398100
06/25/1993,27.42,27.49,27.4,27.42,73200
06/28/1993,27.55,27.72,27.51,27.72,718500
06/29/1993,27.68,27.68,27.55,27.59,338900
06/30/1993,27.63,27.68,27.55,27.59,714800
07/01/1993,27.63,27.63,27.47,27.51,989400
